Experiment,Best Fitness,Mean Fitness,Median Fitness,Worst Fitness,Standard Deviation,Experiment Time,Number of Unique Individuals,Number of Feasible Individuals,Number of Infeasible Individuals,Best Individual,Constraints
39,5806.178059907443,5810.105632592384,5806.178059907443,8062.686519473201,75.856524151023,29.99905490875244,7,997,3,[  0.83854105   0.40592006  42.53508835 171.30002618],"[-0.017613840870536857, -0.00013532026461071656, -0.20129296695813537, -68.69997382460738, -5806.178059907443, -0.7760410460531508, -0.34342006313726026, -5.348958953946849, -5.78157993686274, -157.46491164856923, -28.699973824607383, -32.53508835143077, -161.30002617539262]"
42,5806.7823986728445,5812.984056663785,5806.7823986728445,7618.435278553177,90.24125608050716,33.94765520095825,14,999,1,[  0.82366019   0.40576905  42.53037397 171.35689088],"[-0.0028239742885534103, -2.927819904480211e-05, -0.3527389394585043, -68.64310912341719, -5806.7823986728445, -0.7611601919030627, -0.3432690458696364, -5.363839808096937, -5.781730954130364, -157.46962603033631, -28.64310912341719, -32.53037396966369, -161.3568908765828]"
41,5807.081761264555,5813.391996610072,5807.081761264555,8064.136465709474,83.69064790955846,32.06164526939392,15,997,3,[  0.83387379   0.40573311  42.5280658  171.38488303],"[-0.013082120972665923, -1.5364612804269484e-05, -1.25054861465469, -68.6151169694885, -5807.081761264555, -0.7713737909115607, -0.3432331123442579, -5.353626209088439, -5.781766887655742, -157.47193420005726, -28.615116969488497, -32.52806579994273, -161.3848830305115]"
94,5807.438809118654,5810.257028040793,5807.438809118654,6410.346753295282,36.57074914553515,37.46072769165039,13,1000,0,[  0.83105599   0.40575944  42.52524028 171.41875372],"[-0.010318851308550703, -6.864758668068127e-05, -0.07061048736795783, -68.58124627839112, -5807.438809118654, -0.7685559886835365, -0.3432594398435389, -5.356444011316464, -5.781740560156461, -157.47475972150335, -28.58124627839112, -32.52524027849667, -161.41875372160888]"
53,5812.500599225029,5821.980652055549,5812.500599225029,8557.405773054026,108.69320958004714,36.52347683906555,20,997,3,[  0.82338002   0.40540186  42.48604849 171.89357526],"[-0.003399285845532396, -8.495668741176354e-05, -8.628418141510338, -68.10642473512871, -5812.500599225029, -0.7608800217035772, -0.34290185928252814, -5.364119978296423, -5.782098140717472, -157.51395150994585, -28.106424735128712, -32.48604849005413, -161.8935752648713]"
25,5812.537899063427,5820.063464050857,5812.537899063427,7016.100060127199,71.64259646454501,31.443705081939697,22,999,1,[  0.82670622   0.4053777   42.48548084 171.89893008],"[-0.006736442325989911, -6.621727959754686e-05, -0.07051610201597214, -68.10106991699124, -5812.537899063427, -0.7642062225890299, -0.3428777045184266, -5.36079377741097, -5.782122295481574, -157.51451915735544, -28.101069916991236, -32.485480842644556, -161.89893008300876]"
32,5817.199930870984,5824.893809405835,5817.199930870984,7218.958907657931,79.79560234461267,26.960124731063843,20,998,2,[  0.83403035   0.40612009  42.44920424 172.33808912],"[-0.01476070482223657, -0.0011546769859989148, -0.0556408385746181, -67.66191088434616, -5817.199930870984, -0.7715303467146953, -0.34362008546548367, -5.3534696532853046, -5.781379914534516, -157.55079575686742, -27.661910884346156, -32.44920424313258, -162.33808911565384]"
66,5823.883265054103,5828.920470212367,5823.883265054103,7009.838521265084,57.50443533621035,31.633435249328613,12,999,1,[  0.82270057   0.40488592  42.39733045 172.96784174],"[-0.004432093201846121, -0.0004153843649501998, -0.21836531208828092, -67.0321582635722, -5823.883265054103, -0.7602005708820487, -0.34238591685557884, -5.3647994291179515, -5.782614083144421, -157.60266955024858, -27.0321582635722, -32.39733044975143, -162.9678417364278]"
15,5824.144393894313,5839.632777921221,5824.144393894313,9849.326550961136,168.68497108880442,36.18198871612549,16,1000,0,[  0.81845295   0.4052318   42.39530719 172.99244903],"[-0.00022352126989511056, -0.0007805731344224243, -0.24160767602734268, -67.00755096526672, -5824.144393894313, -0.7559529499707012, -0.3427318036943027, -5.369047050029299, -5.782268196305697, -157.60469281342975, -27.007550965266717, -32.39530718657026, -162.99244903473328]"
84,5839.067135806987,5844.6427795967065,5839.067135806987,8222.96427436838,94.36661265918876,44.21730875968933,12,1000,0,[  0.8167886    0.40354117  42.28000534 174.39970059],"[-0.000784492271591275, -0.0001899159332442446, -0.03350161528214812, -65.60029941009498, -5839.067135806987, -0.7542885953515672, -0.3410411668857298, -5.370711404648433, -5.78395883311427, -157.71999465906862, -25.600299410094976, -32.280005340931396, -164.39970058990502]"
27,5872.677979413898,5877.402571445413,5872.677979413898,7374.333726964141,68.2658701415251,30.048460721969604,9,999,1,[  0.84364906   0.452       43.71066073 157.63305617],"[-3.3307126133585996e-05, -0.0350002921244425, -0.8672562395222485, -82.36694383267678, -5872.677979413898, -0.7811490592665435, -0.38949999551405445, -5.343850940733456, -5.735500004485946, -156.2893392673363, -42.36694383267678, -33.710660732663726, -147.63305616732322]"
65,5872.929102696399,5877.042036094763,5872.929102696399,6707.935488666184,43.842236473101856,29.649733781814575,14,999,1,[  0.8436406    0.4524787   43.70836177 157.65871751],"[-6.921929843795027e-05, -0.03550092850528119, -0.16088065644726157, -82.34128249049672, -5872.929102696399, -0.7811406015115228, -0.38997869981682676, -5.343859398488477, -5.735021300183173, -156.2916382273013, -42.341282490496724, -33.708361772698694, -147.65871750950328]"
88,5873.383657629538,5877.30493922499,5873.383657629538,6745.434128406138,46.77413030073443,93.22486090660095,15,1000,0,[  0.84368544   0.46074378  43.70439939 157.70384946],"[-0.00019052681286835238, -0.04380380997083527, -4.313526082551107, -82.29615054451241, -5873.383657629538, -0.7811854351248956, -0.3982437801934643, -5.343814564875104, -5.726756219806536, -156.29560060559444, -42.296150544512415, -33.704399394405556, -147.70384945548759]"
23,5873.580553701561,5876.5971445494215,5873.580553701561,6535.977139203634,37.23208398908527,31.066864013671875,17,998,2,[  0.84347311   0.42662832  43.70246812 157.72483002],"[-1.5477639878858085e-05, -0.009706775855476246, -0.21246065176092088, -82.2751699800462, -5873.580553701561, -0.7809731123633633, -0.3641283217239758, -5.344026887636637, -5.7608716782760245, -156.29753187961222, -42.2751699800462, -33.70246812038779, -147.7248300199538]"
1,5873.847423625117,5881.663282801943,5873.847423625117,7996.119072416088,91.0651534911989,29.352571487426758,14,999,1,[  0.84351727   0.44806395  43.70009555 157.75163945],"[-0.00010542424516901683, -0.031165040241518727, -1.362832308281213, -82.2483605468087, -5873.847423625117, -0.7810172683616285, -0.3855639517892402, -5.343982731638372, -5.739436048210759, -156.29990444992438, -42.2483605468087, -33.70009555007562, -147.7516394531913]"
74,5874.027833516336,5880.636829522869,5874.027833516336,8057.435881169282,109.67476582066159,32.674625873565674,10,1000,0,[  0.84340813   0.43601624  43.69841608 157.77026704],"[-2.8695139987822138e-05, -0.019133345928127377, -0.06358176888898015, -82.22973295624905, -5874.027833516336, -0.780908125493819, -0.37351623533618694, -5.344091874506181, -5.7514837646638135, -156.3015839194906, -42.22973295624905, -33.69841608050939, -147.77026704375095]"
3,5874.203595208782,5880.174809760812,5874.203595208782,8258.604706964079,84.12939638715142,28.886862993240356,16,999,1,[  0.84353278   0.4379673   43.69691793 157.78749761],"[-0.00018226040376334574, -0.02109870236063982, -2.5784546760842204, -82.21250239099214, -5874.203595208782, -0.781032776433507, -0.3754672994033214, -5.343967223566493, -5.749532700596679, -156.30308207099773, -42.21250239099214, -33.69691792900226, -147.78749760900786]"
19,5874.979697845689,5876.200206005903,5874.979697845689,6366.337973185606,18.84948950150009,33.382047176361084,13,1000,0,[  0.84331095   0.45231157  43.68983434 157.86670854],"[-9.714738892796504e-05, -0.03551054739149334, -0.7946212785318494, -82.13329146251499, -5874.979697845689, -0.7808109501529314, -0.38981156699608366, -5.344189049847069, -5.735188433003916, -156.3101656598962, -42.13329146251499, -33.68983434010381, -147.866708537485]"
86,5875.275891919211,5876.941124797467,5875.275891919211,6710.904422441554,28.443447933833493,97.77954769134521,16,997,3,[  0.8432185    0.4630008   43.68713002 157.89695028],"[-5.6888285344447453e-05, -0.04622558412409866, -0.06703119236044586, -82.10304971758754, -5875.275891919211, -0.780718497651263, -0.4005008045049724, -5.344281502348737, -5.724499195495028, -156.31286998104048, -42.10304971758754, -33.68713001895951, -147.89695028241246]"
18,5875.374551896473,5877.052999848614,5875.374551896473,6288.817792714063,24.488049979559516,45.55686950683594,6,998,2,[  0.84325867   0.42045754  43.68623704 157.90697226],"[-0.00011429333658097285, -0.0036908349712668764, -0.036223293049260974, -82.0930277352391, -5875.374551896473, -0.7807586681995811, -0.3579575363284182, -5.3442413318004185, -5.767042463671582, -156.3137629604663, -42.093027735239104, -33.68623703953368, -147.9069722647609]"
52,5875.552868833832,5879.159303022258,5875.552868833832,8510.787080182892,84.90873117171981,30.78821849822998,12,1000,0,[  0.84319276   0.4330194   43.68464531 157.92493872],"[-7.910746622707965e-05, -0.01626788030621057, -0.587149822153151, -82.07506127657368, -5875.552868833832, -0.7806927620361456, -0.3705193966065744, -5.3443072379638545, -5.754480603393426, -156.31535468549646, -42.07506127657368, -33.68464531450355, -147.92493872342632]"
71,5875.846516374915,5888.917730683539,5875.846516374915,9973.20430309707,191.34186827925495,26.4046950340271,20,999,1,[  0.84312246   0.44414243  43.68197278 157.95486924],"[-6.038220743509459e-05, -0.027416408917539714, -0.07735652453266084, -82.04513076093517, -5875.846516374915, -0.780622456923596, -0.38164242926946584, -5.344377543076404, -5.743357570730534, -156.31802721677923, -42.045130760935166, -33.68197278322077, -147.95486923906483]"
90,5875.857389297121,5879.814476806385,5875.857389297121,8147.664325931024,77.44011644429392,43.554110288619995,9,999,1,[  0.84323457   0.43301156  43.68187233 157.95598748],"[-0.00017443295096486455, -0.016286494885633662, -0.01726391213014722, -82.04401251907692, -5875.857389297121, -0.7807345689739954, -0.37051155694054094, -5.344265431026004, -5.754488443059459, -156.31812766720049, -42.044012519076915, -33.68187233279951, -147.95598748092308]"
70,5876.403535503697,5879.551943785061,5876.403535503697,6514.146365952052,37.79991762587018,28.423255681991577,15,998,2,[  0.84318026   0.45497575  43.67693746 158.01142462],"[-0.00021537043721286953, -0.038297765362512726, -0.016510573914274573, -81.9885753847133, -5876.403535503697, -0.7806802634813332, -0.39247574876359603, -5.344319736518667, -5.732524251236404, -156.32306253657407, -41.9885753847133, -33.67693746342592, -148.0114246152867]"
11,5877.89069953149,5918.861506563389,5877.89069953149,32411.851023518524,875.4816218880345,30.94593596458435,12,996,4,[  0.84296484   0.46020811  43.66350684 158.16238355],"[-0.00025916047928664643, -0.04365825638152415, -0.006180561846122146, -81.83761644850131, -5877.89069953149, -0.780464842447126, -0.39770811161329545, -5.344535157552874, -5.727291888386705, -156.33649316228812, -41.83761644850131, -33.66350683771188, -148.1623835514987]"
54,5878.582087693941,5881.713288417029,5878.582087693941,6514.0164687486385,36.341695990993045,53.751643896102905,12,999,1,[  0.84324644   0.46183607  43.65727532 158.23250704],"[-0.0006610222115314146, -0.045345665645044275, -0.24160006269812584, -81.76749296106519, -5878.582087693941, -0.7807464358801934, -0.3993360721942171, -5.344253564119807, -5.725663927805783, -156.3427246803802, -41.76749296106519, -33.65727531961979, -148.2325070389348]"
95,5879.271105128272,5908.738783655355,5879.271105128272,20914.164501286534,583.3141761327311,27.710875511169434,12,997,3,[  0.84255267   0.43666768  43.65105558 158.30246973],"[-8.729286595443586e-05, -0.02023660694140683, -0.1490866169333458, -81.6975302717853, -5879.271105128272, -0.7800526654776496, -0.37416767713392346, -5.344947334522351, -5.750832322866077, -156.34894442426452, -41.6975302717853, -33.6510555757355, -148.3024697282147]"
58,5881.67724180972,5885.801924540138,5881.67724180972,7153.689084630612,61.58323338433151,27.3471519947052,11,999,1,[  0.84214458   0.46259152  43.62937537 158.54664527],"[-9.763030129450456e-05, -0.04636728073459484, -0.4241425539366901, -81.45335472745529, -5881.67724180972, -0.7796445750089906, -0.4000915217973628, -5.345355424991009, -5.724908478202638, -156.37062462654424, -41.45335472745529, -33.62937537345576, -148.5466452725447]"
